name	acc	count
1.10.10.10/FF/118428	1.10.10.10/FF/118428	3
1.10.10.10/FF/118502	1.10.10.10/FF/118502	13
1.10.10.10/FF/118524	1.10.10.10/FF/118524	17
1.10.10.10/FF/122962	1.10.10.10/FF/122962	13
1.10.10.10/FF/130386	1.10.10.10/FF/130386	9
1.10.10.10/FF/131563	1.10.10.10/FF/131563	9
1.10.10.10/FF/144002	1.10.10.10/FF/144002	13
1.10.10.10/FF/159999	1.10.10.10/FF/159999	1
1.10.10.10/FF/170430	1.10.10.10/FF/170430	14
1.10.10.10/FF/189868	1.10.10.10/FF/189868	28
1.10.10.10/FF/224586	1.10.10.10/FF/224586	1
1.10.10.10/FF/231390	1.10.10.10/FF/231390	2
1.10.10.10/FF/235268	1.10.10.10/FF/235268	1
1.10.10.10/FF/260696	1.10.10.10/FF/260696	40
1.10.10.10/FF/263117	1.10.10.10/FF/263117	15
1.10.10.10/FF/263140	1.10.10.10/FF/263140	13
1.10.10.10/FF/263168	1.10.10.10/FF/263168	13
1.10.10.10/FF/263346	1.10.10.10/FF/263346	13
1.10.10.10/FF/263516	1.10.10.10/FF/263516	14
1.10.10.10/FF/263521	1.10.10.10/FF/263521	13
1.10.10.10/FF/263980	1.10.10.10/FF/263980	27
1.10.10.10/FF/264011	1.10.10.10/FF/264011	12
1.10.10.10/FF/264506	1.10.10.10/FF/264506	25
1.10.10.10/FF/264920	1.10.10.10/FF/264920	13
1.10.10.10/FF/264944	1.10.10.10/FF/264944	31
1.10.10.10/FF/265143	1.10.10.10/FF/265143	55
1.10.10.10/FF/265163	1.10.10.10/FF/265163	67
1.10.10.10/FF/265390	1.10.10.10/FF/265390	22
1.10.10.10/FF/265415	1.10.10.10/FF/265415	3
1.10.10.10/FF/265568	1.10.10.10/FF/265568	3
1.10.10.10/FF/265960	1.10.10.10/FF/265960	68
1.10.10.10/FF/266128	1.10.10.10/FF/266128	13
1.10.10.10/FF/266283	1.10.10.10/FF/266283	15
1.10.10.10/FF/266672	1.10.10.10/FF/266672	2
1.10.10.10/FF/266788	1.10.10.10/FF/266788	3
1.10.10.10/FF/266808	1.10.10.10/FF/266808	3
1.10.10.10/FF/51113	1.10.10.10/FF/51113	8
1.10.10.10/FF/52318	1.10.10.10/FF/52318	5
1.10.10.10/FF/60580	1.10.10.10/FF/60580	3
1.10.10.10/FF/69286	1.10.10.10/FF/69286	5
1.10.10.10/FF/70198	1.10.10.10/FF/70198	8
1.10.10.10/FF/72144	1.10.10.10/FF/72144	6
1.10.10.10/FF/72153	1.10.10.10/FF/72153	5
1.10.10.10/FF/82590	1.10.10.10/FF/82590	29
1.10.10.10/FF/82765	1.10.10.10/FF/82765	6
1.10.10.10/FF/87092	1.10.10.10/FF/87092	3
1.10.10.10/FF/91905	1.10.10.10/FF/91905	13
1.10.10.10/FF/98765	1.10.10.10/FF/98765	26
1.10.10.160/FF/2117	1.10.10.160/FF/2117	1
1.10.10.350/FF/543	1.10.10.350/FF/543	4
1.10.10.390/FF/102	1.10.10.390/FF/102	1
1.10.10.390/FF/112	1.10.10.390/FF/112	1
1.10.10.430/FF/44	1.10.10.430/FF/44	2
1.10.10.60/FF/10206	1.10.10.60/FF/10206	14
1.10.10.60/FF/10739	1.10.10.60/FF/10739	11
1.10.10.60/FF/10927	1.10.10.60/FF/10927	1
1.10.10.60/FF/123007	1.10.10.60/FF/123007	1
1.10.10.60/FF/123008	1.10.10.60/FF/123008	7
1.10.10.60/FF/123051	1.10.10.60/FF/123051	8
1.10.10.60/FF/123054	1.10.10.60/FF/123054	11
1.10.10.60/FF/123134	1.10.10.60/FF/123134	9
1.10.10.60/FF/123140	1.10.10.60/FF/123140	13
1.10.10.60/FF/123191	1.10.10.60/FF/123191	11
1.10.10.60/FF/123319	1.10.10.60/FF/123319	3
1.10.10.60/FF/123378	1.10.10.60/FF/123378	6
