name	frequency
PTHR45915.orig.30.pir:-	345.0
PTHR46510.orig.30.pir:-	340.0
PTHR45975.orig.30.pir:-	322.0
PTHR46802.orig.30.pir:-	317.0
PHD:PF00628.29	309.0
PTHR45865.orig.30.pir:-	257.0
PTHR46379.orig.30.pir:-	254.0
PTHR46453.orig.30.pir:-	244.0
PTHR16266.orig.30.pir:-	244.0
PTHR46386.orig.30.pir:-	241.0
PTHR45623.orig.30.pir:-	233.0
PTHR45626.orig.30.pir:-	221.0
PTHR46147.orig.30.pir:-	217.0
PTHR13415.orig.30.pir:-	217.0
PTHR16062.orig.30.pir:-	216.0
PTHR22880.orig.30.pir:-	213.0
Bromodomain:PF00439.25	210.0
PTHR15398.orig.30.pir:-	206.0
PTHR46309.orig.30.pir:-	205.0
PTHR46136.orig.30.pir:-	205.0
PTHR45797.orig.30.pir:-	205.0
PTHR24102.orig.30.pir:-	203.0
PTHR47025.orig.30.pir:-	202.0
PTHR23202.orig.30.pir:-	199.0
PTHR13900.orig.30.pir:-	193.0
PTHR47672.orig.30.pir:-	191.0
PTHR45685.orig.30.pir:-	191.0
PTHR45926.orig.30.pir:-	188.0
PTHR45766.orig.30.pir:-	186.0
PTHR22881.orig.30.pir:-	186.0
PTHR10799.orig.30.pir:-	185.0
PTHR47161.orig.30.pir:-	184.0
PTHR47157.orig.30.pir:-	184.0
PTHR45629.orig.30.pir:-	184.0
PTHR45888.orig.30.pir:-	180.0
PTHR12618.orig.30.pir:-	179.0
PHD_2:PF13831.6	174.0
PTHR36498.orig.30.pir:-	173.0
SNF2_N:PF00176.23	172.0
PTHR46459.orig.30.pir:-	172.0
PTHR45821.orig.30.pir:-	172.0
PTHR46508.orig.30.pir:-	171.0
PTHR45750.orig.30.pir:-	163.0
PTHR47092.orig.30.pir:-	162.0
ResIII:PF04851.15	155.0
PTHR47343.orig.30.pir:-	152.0
PTHR46223.orig.30.pir:-	148.0
PTHR44080.orig.30.pir:-	142.0
Helicase_C:PF00271.31	140.0
PTHR45838.orig.30.pir:-	138.0
SET:PF00856.28	136.0
PTHR46850.orig.30.pir:-	134.0
PTHR46452.orig.30.pir:-	134.0
PTHR46307.orig.30.pir:-	131.0
PTHR47162.orig.30.pir:-	130.0
PTHR47181.orig.30.pir:-	127.0
PTHR46174.orig.30.pir:-	127.0
PTHR37888.orig.30.pir:-	127.0
PTHR47177.orig.30.pir:-	126.0
PTHR13793.orig.30.pir:-	126.0
PTHR45634.orig.30.pir:-	125.0
PTHR45364.orig.30.pir:-	122.0
PTHR23069.orig.30.pir:-	121.0
PTHR31802.orig.30.pir:-	119.0
PTHR22812.orig.30.pir:-	119.0
PTHR47636.orig.30.pir:-	117.0
Chromo:PF00385.24	116.0
PTHR46364.orig.30.pir:-	114.0
PTHR14140.orig.30.pir:-	114.0
Hist_deacetyl:PF00850.19	112.0
PTHR31095.orig.30.pir:-	109.0
PTHR10625.orig.30.pir:-	107.0
PTHR10880.orig.30.pir:-	105.0
PTHR47809.orig.30.pir:-	104.0
